state,total_fire_power_MW,fire_count,mean_vpd_kPa,mean_tmax_F,total_precip_mm,mean_wind_ms,mean_rmin_pct,mean_bi,mean_erc,mean_lightning
Alabama,21958.9,210,1.109,87.43,3920115.1,3.08,46.054,17.429,23.894,8.579
Arizona,47690.7,310,2.772,91.658,1792260.9,3.373,15.493,55.895,78.471,3.117
Arkansas,41927.8,440,1.174,86.166,3752907.6,3.323,43.871,23.522,30.017,3.344
California,239128.8,420,2.306,85.737,783111.6,3.359,21.177,57.202,74.494,0.317
Colorado,18121.3,43,1.475,77.203,3767007.8,3.498,22.253,35.124,52.31,0.28
Connecticut,0.0,0,0.786,76.359,296847.5,3.49,48.813,18.565,23.464,0.0
Delaware,89.0,1,0.991,80.764,158283.9,3.728,45.071,22.883,29.272,0.0
Florida,2418.5,38,1.088,89.687,8479915.0,3.421,51.446,11.191,17.0,7.127
Georgia,10396.7,128,1.059,87.375,5637267.8,3.471,46.898,17.893,22.46,2.152
Idaho,171336.9,407,1.317,73.625,1852487.9,3.412,26.58,38.442,54.305,1.06
Illinois,796.1,10,0.998,80.583,4130561.5,3.78,43.184,21.579,29.474,0.0
Indiana,89.4,2,0.973,79.731,2197921.5,3.657,43.745,20.548,28.866,0.0
Iowa,420.8,6,0.969,78.897,4430013.9,4.143,41.216,25.185,31.096,0.361
Kansas,12888.0,99,1.529,85.812,5257853.4,4.419,31.483,31.887,39.633,3.335
Kentucky,271.5,8,0.969,82.289,3117736.3,3.15,45.976,17.301,23.497,0.0
Louisiana,22855.5,237,1.114,88.838,4899032.2,2.945,48.721,16.901,22.833,8.152
Maine,64.3,2,0.658,70.917,2562540.0,3.782,50.174,16.794,21.78,0.098
Maryland,0.0,0,0.96,81.163,444704.0,3.38,46.696,19.949,26.668,0.0
Massachusetts,0.0,0,0.765,75.35,414454.0,3.657,49.632,18.98,24.048,0.0
Michigan,494.2,3,0.706,73.979,3962933.5,4.176,47.638,18.372,23.118,0.0
Minnesota,3720.2,36,0.72,73.57,6398533.0,4.28,44.407,20.597,25.994,1.694
Mississippi,26563.4,249,1.171,88.301,3463747.7,3.147,45.286,19.389,25.912,5.788
Missouri,17063.6,147,1.123,82.636,5656465.8,3.7,42.153,24.858,31.819,0.322
Montana,42882.7,108,1.229,74.066,5107683.0,3.849,27.415,32.712,44.735,0.495
Nebraska,7057.7,34,1.332,81.397,3611539.1,4.352,29.967,34.285,41.691,0.865
Nevada,35584.6,46,2.125,82.333,758644.9,3.267,15.529,59.157,79.399,0.194
New Hampshire,0.0,0,0.665,71.961,829941.6,3.814,51.429,16.535,20.807,0.0
New Jersey,298.2,2,0.957,79.544,476593.9,3.623,44.96,22.048,28.589,0.0
New Mexico,13549.6,40,1.877,84.882,4148345.0,3.432,20.523,39.571,57.655,0.417
New York,0.0,0,0.678,73.291,4147513.4,3.658,51.567,14.56,19.928,0.0
North Carolina,6756.6,61,0.891,82.626,5343519.1,3.485,49.278,15.94,20.088,1.722
North Dakota,3065.8,11,0.963,74.434,3757962.1,4.346,34.707,29.757,35.202,0.0
Ohio,45.1,1,1.02,79.546,2415907.1,3.446,42.316,20.315,29.318,0.0
Oklahoma,23187.2,134,1.686,89.584,4204287.8,4.139,32.767,35.127,42.413,5.622
Oregon,160602.0,289,1.278,75.23,2342727.3,3.297,31.007,35.715,49.258,1.199
Pennsylvania,112.8,2,0.834,76.454,3428678.1,3.46,46.995,17.296,23.805,0.0
Rhode Island,0.0,0,0.756,75.71,63451.5,3.612,48.687,19.16,23.473,0.0
South Carolina,1029.4,14,1.0,85.905,3104539.8,3.598,47.301,17.02,21.527,0.0
South Dakota,5620.5,14,1.205,78.773,3595965.6,4.258,31.382,32.582,40.42,0.0
Tennessee,3266.9,31,0.984,83.692,2816876.1,3.075,47.245,17.647,23.462,0.954
Texas,14232.4,161,1.778,91.842,13550267.7,4.047,33.835,35.623,42.55,1.385
Utah,43415.4,80,1.937,80.238,1518853.3,3.162,17.867,50.273,73.504,0.468
Vermont,0.0,0,0.666,71.746,1169001.8,3.653,51.34,14.543,19.693,0.0
Virginia,534.5,8,0.904,80.708,3697260.9,3.39,46.341,17.632,22.939,0.083
Washington,38631.6,93,1.063,71.885,3060991.1,3.251,38.744,30.825,42.079,0.046
West Virginia,58.4,1,0.985,79.655,1218289.9,3.409,42.929,17.959,25.066,0.0
Wisconsin,1683.2,10,0.685,74.282,5232142.3,4.107,48.142,17.714,21.921,0.0
Wyoming,117459.2,228,1.386,74.527,1940819.4,3.7,21.338,42.746,58.169,0.734
