week,state,mean_vpd,mean_tmax,mean_rmin,mean_bi
2024-05-27,Alabama,1.003,84.797,49.177,11.731
2024-05-27,Arizona,2.932,91.217,6.769,76.617
2024-05-27,Arkansas,1.012,84.032,50.023,15.287
2024-05-27,California,1.844,82.156,24.826,52.544
2024-05-27,Colorado,1.325,75.394,19.985,39.235
2024-05-27,Connecticut,0.999,76.276,41.786,17.914
2024-05-27,Delaware,1.002,79.136,43.143,19.471
2024-05-27,Florida,1.453,91.471,40.807,23.439
2024-05-27,Georgia,1.102,85.561,43.758,19.441
2024-05-27,Idaho,0.888,67.077,29.441,27.572
2024-05-27,Illinois,0.894,76.358,45.132,16.646
2024-05-27,Indiana,0.795,74.459,47.029,17.332
2024-05-27,Iowa,0.913,75.708,42.668,16.015
2024-05-27,Kansas,1.168,81.802,38.563,15.295
2024-05-27,Kentucky,0.756,77.538,50.266,16.335
2024-05-27,Louisiana,0.825,87.145,56.685,5.834
2024-05-27,Maine,0.767,70.027,41.507,23.748
2024-05-27,Maryland,0.949,79.224,44.794,16.74
2024-05-27,Massachusetts,0.922,74.983,44.536,16.521
2024-05-27,Michigan,0.731,70.325,45.649,17.347
2024-05-27,Minnesota,0.759,71.077,42.856,12.492
2024-05-27,Mississippi,1.091,86.754,49.352,13.322
2024-05-27,Missouri,1.015,79.614,45.615,21.24
2024-05-27,Montana,0.888,67.695,28.654,27.695
2024-05-27,Nebraska,1.013,77.646,36.111,18.364
2024-05-27,Nevada,1.81,79.422,15.033,59.45
2024-05-27,New Hampshire,0.82,72.34,42.964,21.991
2024-05-27,New Jersey,1.025,78.245,42.038,20.227
2024-05-27,New Mexico,2.279,86.745,10.363,66.945
2024-05-27,New York,0.793,71.873,44.029,17.242
2024-05-27,North Carolina,1.01,80.624,42.371,19.186
2024-05-27,North Dakota,0.828,70.929,34.047,17.108
2024-05-27,Ohio,0.793,73.933,45.461,14.205
2024-05-27,Oklahoma,1.06,84.01,45.873,16.294
2024-05-27,Oregon,0.833,68.53,35.419,25.143
2024-05-27,Pennsylvania,0.84,73.087,42.968,15.726
2024-05-27,Rhode Island,0.919,75.239,44.966,16.316
2024-05-27,South Carolina,1.171,84.652,39.485,22.357
2024-05-27,South Dakota,0.915,74.569,35.645,22.751
2024-05-27,Tennessee,0.745,79.864,52.706,14.774
2024-05-27,Texas,1.546,91.325,39.092,27.924
2024-05-27,Utah,1.795,78.422,14.586,57.1
2024-05-27,Vermont,0.851,72.414,41.477,22.03
2024-05-27,Virginia,0.932,77.868,41.774,18.718
2024-05-27,Washington,0.659,63.655,43.175,20.465
2024-05-27,West Virginia,0.775,73.897,44.84,13.391
2024-05-27,Wisconsin,0.687,70.785,48.055,11.819
2024-05-27,Wyoming,1.028,69.379,22.757,35.19
2024-06-03,Alabama,1.067,88.203,47.986,12.505
2024-06-03,Arizona,3.231,95.562,10.535,80.024
2024-06-03,Arkansas,0.873,85.822,54.788,12.486
2024-06-03,California,2.051,86.855,29.029,52.23
2024-06-03,Colorado,1.699,81.302,19.525,43.661
2024-06-03,Connecticut,0.906,78.874,47.94,17.301
2024-06-03,Delaware,1.051,83.873,46.737,25.733
2024-06-03,Florida,1.382,93.245,44.042,19.891
2024-06-03,Georgia,1.233,89.947,43.852,17.249
2024-06-03,Idaho,1.093,74.712,33.744,25.278
2024-06-03,Illinois,1.061,82.488,44.225,21.056
2024-06-03,Indiana,0.984,81.318,44.644,22.442
2024-06-03,Iowa,1.068,81.016,39.754,23.762
2024-06-03,Kansas,1.184,85.855,39.549,18.813
2024-06-03,Kentucky,0.829,81.968,52.041,13.393
2024-06-03,Louisiana,0.935,89.865,54.088,13.611
2024-06-03,Maine,0.762,73.601,49.629,11.905
2024-06-03,Maryland,1.027,84.192,48.501,20.607
2024-06-03,Massachusetts,0.862,77.47,49.863,16.821
2024-06-03,Michigan,0.671,72.635,52.649,14.309
2024-06-03,Minnesota,0.798,73.495,42.634,19.39
2024-06-03,Mississippi,1.038,89.22,48.958,13.498
2024-06-03,Missouri,1.025,83.58,47.549,13.644
2024-06-03,Montana,0.975,71.48,29.797,33.508
2024-06-03,Nebraska,1.157,80.902,34.517,25.821
2024-06-03,Nevada,2.187,86.909,19.059,52.905
2024-06-03,New Hampshire,0.815,75.764,49.462,10.176
2024-06-03,New Jersey,0.994,82.288,46.657,21.924
2024-06-03,New Mexico,2.735,91.589,10.208,66.022
2024-06-03,New York,0.777,75.394,51.566,9.465
2024-06-03,North Carolina,1.074,85.72,46.446,14.927
2024-06-03,North Dakota,0.897,72.358,33.25,31.657
2024-06-03,Ohio,0.922,80.593,46.736,21.918
2024-06-03,Oklahoma,1.211,89.498,45.828,22.596
2024-06-03,Oregon,1.108,76.269,36.087,24.996
2024-06-03,Pennsylvania,0.848,77.78,49.245,16.349
2024-06-03,Rhode Island,0.843,77.71,50.134,17.848
2024-06-03,South Carolina,1.214,89.013,42.823,13.142
2024-06-03,South Dakota,1.099,77.433,31.286,31.752
2024-06-03,Tennessee,0.818,83.587,52.959,9.791
2024-06-03,Texas,2.136,96.104,31.107,39.824
2024-06-03,Utah,2.119,84.659,18.366,54.553
2024-06-03,Vermont,0.881,75.961,47.646,10.657
2024-06-03,Virginia,0.954,83.229,47.45,17.576
2024-06-03,Washington,0.923,70.753,39.49,24.545
2024-06-03,West Virginia,0.797,79.02,50.399,18.421
2024-06-03,Wisconsin,0.666,73.506,51.206,10.389
2024-06-03,Wyoming,1.208,75.048,25.951,41.306
2024-06-10,Alabama,1.261,90.788,43.285,21.208
2024-06-10,Arizona,3.484,96.983,8.239,78.471
